,[Verse 1: John Lennon],[Verse 2: John Lennon],[Refrain: John Lennon],[Bridge: Paul McCartney],title,[Verse 1],[Verse 2],[Bridge],[Verse 2]2,[Chorus],[Chorus]2,[Verse 3],[Chorus]3,[x2],[Intro],[Bridge 1],[Instrumental],[Bridge 2],[Pre-Chorus],[Verse 1: John Lennon]2,[Chorus 1],[Paul McCartney],[Bridge]2,[Verse],[Chorus 2],[Chorus 3],[Verse 4],[Verse 1: Paul McCartney and John Lennon],[Interlude: Paul McCartney],"[Bridge 1: John Lennon, <br/>& McCartney<br/>, <br/>& McCartney and George Harrison<br/>]",[Bridge 2: Paul McCartney],[Instrumental Verse],[Bridge 2: Paul McCartney]2,[Instrumental Break],[Outro],[Guitar Solo],[Instrumental Break 0:23-0:44],[Transition],[Engineer],[Verse 1]2,[Interlude],[Verse 1: Paul McCartney & John Lennon],[Chorus: Paul McCartney & John Lennon],[Verse 2: Paul McCartney & John Lennon],[Chorus: Paul McCartney & John Lennon]2,[Guitar Solo: John Lennon],[Spoken],[Chorus: John Lennon & Paul McCartney],[Verse 1: John Lennon & Paul McCartney],[Chorus: John Lennon & Paul McCartney]2,[Bridge: John Lennon & Paul McCartney & George Harrison],[Chorus: John Lennon & Paul McCartney]3,"[Intro: Paul McCartney, John Lennon, George Harrison]",[Verse 1: Paul McCartney],[Chorus: Paul McCartney],[Verse 2: Paul McCartney]
0,"<br/>I read the news today—oh, boy<br/>About a lucky man who made the grade<br/>And though the news was rather sad<br/>Well, I just had to laugh<br/>I saw the photograph<br/>He blew his mind out in a car<br/>He didn't notice that the lights had changed<br/>A crowd of people stood and stared<br/>They'd seen his face before<br/>Nobody was really sure if he was from the House of Lords<br/>","<br/>I saw a film today, oh boy<br/>The English Army had just won the war<br/>A crowd of people turned away<br/>But I just had to look<br/>Having read the book<br/>",<br/>I'd love to turn you on<br/>,"<br/>*alarm clock rings*<br/>Woke up, fell out of bed<br/>Dragged a comb across my head<br/>Found my way downstairs and drank a cup<br/>And looking up I noticed I was late<br/>Found my coat and grabbed my hat<br/>Made the bus in seconds flat<br/>Found my way upstairs and had a smoke<br/>And somebody spoke and I went into a dream",A Day in the Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,All I’ve Got to Do,"<br/>Whenever I want you around, yeah<br/>All I got to do<br/>Is call you on the phone<br/>And you'll come running home<br/>Yeah, that's all I got to do<br/>","<br/>And when I, I want to kiss you, yeah<br/>All I got to do<br/>Is whisper in your ear<br/>The words you long to hear<br/>And I'll be kissin' you<br/>","<br/>And the same goes for me<br/>Whenever you want me at all<br/>I'll be here, yes, I will<br/>Whenever you call<br/>You just got to call on me, yeah<br/>You just got to call on me<br/>","<br/>And when I, I want to kiss you, yeah<br/>All I got to do<br/>Is call you on the phone<br/>And you'll come runnin' home<br/>Yeah, that's all I got to do",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,All Things Must Pass (Demo),<br/>Sunrise doesn't last all morning<br/>A cloudburst doesn't last all day<br/>Seems my love is up<br/>And has left you with no warning<br/>But it's not always going to be this grey<br/>,<br/>Sunset doesn't last all evening<br/>A mind can blow those clouds away<br/>After all this my love is up<br/>And must be leaving<br/>It has not always been this grey<br/>,,,<br/>All things must pass<br/>All things must pass away<br/>,<br/>All things must pass<br/>None of life's strings can last<br/>So I must be on my way<br/>And face another day<br/>,<br/>Now the darkness only stays at nighttime<br/>In the morning it will fade away<br/>Daylight is good<br/>At arriving at the right time<br/>It's not always going to be this grey<br/>, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,All You Need Is Love,"<br/>There's nothing you can do that can't be done<br/>Nothing you can sing that can't be sung<br/>Nothing you can say, but you can learn how to play the game<br/>It's easy<br/>","<br/>Nothing you can make that can't be made<br/>No one you can save that can't be saved<br/>Nothing you can do, but you can learn how to be you in time<br/>It's easy<br/>",,,"<br/>All you need is love<br/>All you need is love<br/>All you need is love, love<br/>Love is all you need<br/>Love, love, love<br/>Love, love, love<br/>Love, love, love",,,,,"<br/>Love, love, love<br/>Love, love, love<br/>Love, love, love<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,And Your Bird Can Sing,<br/>You tell me that you've got everything you want<br/>And your bird can sing<br/>But you don't get me<br/>You don't get me<br/>,<br/>You say you've seen seven wonders<br/>And your bird is green<br/>But you can't see me<br/>You can't see me<br/>,,,,,,,,,"<br/>When your prized possessions<br/>Start to weigh you down<br/>Look in my direction<br/>I'll be 'round, I'll be 'round<br/>",<br/>,"<br/>When your bird is broken<br/>Will it bring you down?<br/>You may be awoken<br/>I'll be 'round, I'll be 'round",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,Any Time at All,"<br/>If you need somebody to love<br/>Just look into my eyes<br/>I'll be there to make you feel right<br/>If you're feeling sorry and sad<br/>I'd really sympathize<br/>Don't you be sad, just call me tonight<br/>","<br/>If the sun has faded away<br/>I'll try to make it shine<br/>There's nothing I won't do<br/>When you need a shoulder to cry on<br/>I hope it will be mine<br/>Call me tonight, and I'll come to you<br/>",,,"<br/>Any time at all, any time at all<br/>Any time at all, all you've gotta do is call and I'll be there<br/>","<br/>Any time at all, any time at all<br/>Any time at all, all you've gotta do is call and I'll be there<br/>",,"<br/>Any time at all, any time at all<br/>Any time at all, all you've gotta do is call and I'll be there",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,Baby It’s You,<br/>It's not the way you smile that touched my heart<br/>(<br/>Sha la la la la<br/>)<br/>It's not the way you kiss that tears me apart<br/>,"<br/>You should hear what they say about you, ""cheat,"" ""cheat""<br/>(<br/>Sha la la la la<br/>)<br/>They say, they say you never never never ever been true<br/>(<br/>Cheat, cheat<br/>)",,,"<br/>'Cause, baby, it's you (<br/>Sha la la la la la la<br/>)<br/>Baby, it's you (<br/>Sha la la la la la la<br/>)<br/>(<br/>Sha la la la la<br/>)<br/>",,,,,<br/>Sha la la la la la la<br/>Sha la la la la la la<br/>Sha la la la la la la<br/>Sha la la la la<br/>,,,,"<br/>Uh, oh<br/>Many, many, many nights go by<br/>I sit alone at home and I cry over you<br/>What can I do?<br/>Can't help myself<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,<br/>It's been a hard day's night<br/>And I've been working like a dog<br/>It's been a hard day's night<br/>I should be sleeping like a log<br/>But when I get home to you<br/>I find the things that you do<br/>Will make me feel alright<br/>,<br/>You know I work all day<br/>To get you money to buy you things<br/>And it's worth it just to hear you say<br/>You're gonna give me everything<br/>So why on earth should I moan<br/>'Cause when I get you alone<br/>You know I feel okay<br/>,,"<br/>When I'm home, everything seems to be right<br/>When I'm home feeling you holding me tight<br/>Tight, yeah!<br/>",A Hard Day’s Night,,,,,,,,,,,,,,,<br/>It's been a hard day's night<br/>And I've been working like a dog<br/>It's been a hard day's night<br/>I should be sleeping like a log<br/>But when I get home to you<br/>I find the things that you do<br/>Will make me feel alright<br/>Ah!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,Across the Universe,"<br/>Words are flowing out like endless rain into a paper cup<br/>They slither wildly as they slip away across the universe<br/>Pools of sorrow, waves of joy are drifting through my opened mind<br/>Possessing and caressing me<br/>",<br/>Images of broken light which dance before me like a million eyes<br/>They call me on and on across the universe<br/>Thoughts meander like a restless wind inside a letter box<br/>They tumble blindly as they make their way across the universe<br/>,,,"<br/>Jai Guru Deva, Om<br/>Nothing's gonna change my world<br/>Nothing's gonna change my world<br/>Nothing's gonna change my world<br/>Nothing's gonna change my world<br/>","<br/>Jai Guru Deva, Om<br/>Nothing's gonna change my world<br/>Nothing's gonna change my world<br/>Nothing's gonna change my world<br/>Nothing's gonna change my world",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,All Together Now,"<br/>A, B, C, D<br/>Can I bring my friend to tea?<br/>E, F, G, H, I, J, I love you<br/>","<br/>Black, white, green, red<br/>Can I take my friend to bed?<br/>Pink, brown, yellow, orange and blue, I love you",,,<br/>(All together now) All together now<br/>(All together now) All together now<br/>(All together now) All together now<br/>(All together now) All together now<br/>,,,,,"<br/>One, two, three, four<br/>Can I have a little more?<br/>Five, six, seven, eight, nine, ten, I love you<br/>",,,,<br/>(Bom bom bom bompa bom) Sail the ship<br/>(Bompa bom) Chop the tree<br/>(Bompa bom) Skip the rope<br/>(Bompa bom) Look at me<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,Act Naturally,<br/>They're gonna put me in the movies<br/>They're gonna make a big star out of me<br/>We'll make a film about a man that's sad and lonely<br/>And all I gotta do is act naturally<br/>,<br/>Well I hope you'll come and see me in the movies<br/>Then I know that you will plainly see<br/>The biggest fool that ever hit the big time<br/>And all I gotta do is act naturally<br/>,,,"<br/>Well I'll bet you I'm gonna be a big star<br/>Might win an Oscar, you can never tell<br/>The movies gonna make me a big star<br/>'Cause I can play the part so well<br/>","<br/>Well I'll bet you I'm gonna be a big star<br/>Might win an Oscar, you can never tell<br/>The movies gonna make me a big star<br/>'Cause I can play the part so well",<br/>We'll make the scene about a man that's sad and lonely<br/>And begging down upon his bended knee<br/>I'll play the part and I won't need rehearsing<br/>All I have to do is act naturally<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,All My Loving,<br/>Close your eyes and I'll kiss you<br/>Tomorrow I'll miss you<br/>Remember I'll always be true<br/>And then while I'm away<br/>I'll write home everyday<br/>And I'll send all my loving to you<br/>,<br/>I'll pretend that I'm kissing<br/>The lips I am missing<br/>And hope that my dreams will come true<br/>And then while I'm away<br/>I'll write home everyday<br/>And I'll send all my loving to you<br/>,,,,,<br/>Close your eyes and I'll kiss you<br/>Tomorrow I'll miss you<br/>Remember I'll always be true<br/>And then while I'm away<br/>I'll write home everyday<br/>And I'll send all my loving to you,,,,,,,,,"<br/>All my loving I will send to you<br/>All my loving, darling I'll be true<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,And I Love Her,<br/>I give her all my love<br/>That's all I do<br/>And if you saw my love<br/>You'd love her too<br/>I love her<br/>,<br/>She gives me everything<br/>And tenderly<br/>The kiss my lover brings<br/>She brings to me<br/>And I love her<br/>,<br/>A love like ours<br/>Could never die<br/>As long as I<br/>Have you near me<br/>,,,,<br/>Bright are the stars that shine<br/>Dark is the sky<br/>I know this love of mine<br/>Will never die<br/>And I love her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,Ask Me Why,"<br/>I love you, 'cause you tell me things I want to know<br/>And it's true that it really only goes to show<br/>That I know that I—I, I, I<br/>Should never, never, never be blue<br/>","<br/>Now you're mine, my happiness still makes me cry<br/>And in time, you'll understand the reason why<br/>If I cry it's not because I'm sad<br/>But you're the only love that I've ever had<br/>",<br/>I can't believe it's happened to me<br/>I can't conceive of any more—misery<br/>,,"<br/>Ask me why, I'll say I love you<br/>And I'm always thinking of you<br/>",,"<br/>I love you, 'cause you tell me things I want to know<br/>And it's true that it really only goes to show<br/>That I know that I—I, I, I<br/>Should never, never, never be blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,12-Bar Original,,,,,,,,,,,,,,,,,"<br/>One, two, three, four!<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,A Taste of Honey,"<br/>I dream of your first kiss, and then<br/>I feel upon my lips again<br/>A taste of honey (A taste of honey)<br/>Tasting much sweeter than wine<br/>","<br/>Yours was the kiss that awoke my heart<br/>There lingers still, though we're far apart<br/>A taste of honey (A taste of honey)<br/>Tasting much sweeter than wine<br/>","<br/>I will return, yes I will return<br/>I'll come back for the honey and you<br/>",,,,,,,<br/>A taste of honey!<br/>Tasting much sweeter than wine<br/>,,,,,,,,"<br/>I will return, yes I will return<br/>I'll come back (He'll come back) for the honey (for the honey) and you",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,Another Girl,"<br/>You're making me say that I've got nobody but you<br/>But as from today, well, I've got somebody that's new<br/>I ain't no fool and I don't take what I don't want<br/>","<br/>She's sweeter than all the girls and I met quite a few<br/>Nobody in all the world can do what she can do<br/>And so I'm telling you, ""This time you'd better stop""<br/>",<br/>Who will love me till the end<br/>Through thick and thin<br/>She will always be my friend,,<br/>For I have got another girl<br/>Another girl<br/>,<br/>For I have got another girl<br/>Another girl<br/>,,<br/>For I have got another girl<br/>Another girl<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,Bad Boy,,,"<br/>Ooh!<br/>Gonna tell your mama you better do what she said<br/>Get to the barber shop and get that hair cut off your head<br/>Shoot the canary and you fed it to the neighbor's cat<br/>You gave the cocker spaniel a bath in mother's laundromat<br/>Well, in mama's head it's got to stop<br/>Junior's head is hard as rock<br/>Now, junior, behave yourself",,,,,,,"<br/>A bad little kid moved into my neighborhood<br/>He won't do nothing right, just sitting down and looks so good<br/>He don't want to go to school and learn to read and write<br/>Just sits around the house and plays the rock and roll music all night<br/>Well, he put some tacks on teacher's chair<br/>Puts chewing gum in little girl's hair<br/>Now, junior, behave yourself<br/>Buy every rock and roll book on the magazine stand<br/>Every dime that he gets (oh) is lost to the jukebox man<br/>Well he worries his teacher till at night she's ready to poop<br/>From rocking and a-rolling to spinning in a hula hoop<br/>Well this rock and roll has got to stop<br/>Junior's head is hard as rock<br/>Now, junior, behave yourself<br/>Ooh!<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,Beautiful Dreamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,A Shot Of Rhythm And Blues,,,,,,,,,,,,,,,,<br/>You get a shot of rhythm and blues<br/>With just a little rock and roll on the side<br/>Just for good measure<br/>,,,"<br/>Well, if your hands start a-clapping<br/>And your fingers start a-popping<br/>And your feet start a-moving around<br/>And if you start to swing and sway<br/>When the band starts to play<br/>A real cool way out sound<br/>And if you get to can't help it<br/>And you can't sit down<br/>You feel like you gotta move a round<br/>","<br/>Get a pair of dancing shoes<br/>Well, with your lover by your side<br/>Don't you know you're going to have a lot of pleasure?<br/>","<br/>Don't you worry about a thing if you start to dance and sing<br/>And chills coming up on you<br/>And if the rhythm finally gets you and the beat gets you too<br/>Well, here's something for you to do",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,Ain’t She Sweet (Anthology 1 version),<br/>Oh ain't she sweet?<br/>Well see her walking down that street<br/>Yes I ask you very confidentially<br/>Ain't she sweet?<br/>,"<br/>Oh ain't she nice?<br/>Well look her over once or twice<br/>Yes I ask you, very confidentially<br/>Ain't she nice?<br/>",,,,,"<br/>Oh I repeat<br/>Well don't you think that's kind of neat?<br/>Yes I ask you, very confidentially<br/>Ain't she sweet?<br/>",,,,,,,,,"<br/>Just cast an eye<br/>In her direction<br/>Oh me, oh my<br/>Ain't that perfection?<br/>",,,,,,"<br/>Oh ain't she sweet?<br/>Well see her walking down that street?<br/>Yes I ask you, very confidentially<br/>Ain't she sweet?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,Birthday,,,,,,,,,,,,,,,,,,,,,,,"<br/>They say it's your birthday<br/>Well, it's my birthday too, yeah<br/>They say it's your birthday<br/>We're gonna have a good time<br/>I'm glad it's your birthday<br/>Happy birthday to you<br/>","<br/>One, two, three, four, five, six, seven, eight!<br/>","<br/>Yes, we're going to a party, party<br/>Yes, we're going to a party, party<br/>Yes, we're going to a party, party<br/>","<br/>I would like you to dance (Birthday)<br/>Take a cha-cha-cha-chance (Birthday)<br/>I would like you to dance (Birthday)<br/>Dance, yeah, woo, come on (Come on)<br/>",<br/>,"<br/>I would like you to dance (Birthday)<br/>Take a cha-cha-cha-chance (Birthday)<br/>I would like you to dance (Birthday)<br/>Woo, dance! Dance!",,,,,,,,,,,,,,,,,,,,,,,
22,,,,,Because I Know You Love Me So,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
